Price,Close,High,Low,Open,Volume
Ticker,IUKP.L,IUKP.L,IUKP.L,IUKP.L,IUKP.L
Date,,,,,
2011-05-20,430.5252380371094,433.61394631477793,428.8314214442839,433.61394631477793,123171
2011-05-23,423.7498474121094,428.37894010933576,421.8567786445854,423.25166982032164,388776
2011-05-24,423.4012451171875,425.1448670907623,420.4619844849054,420.4619844849054,436476
2011-05-25,425.14483642578125,425.64301409658424,422.5503232242264,424.44737552411635,428741
2011-05-26,430.1764221191406,430.27606373535474,427.7154231897788,429.42915560706336,9204565
2011-05-27,436.104736328125,437.3999860833712,430.8240348810297,432.71710391037084,699974
2011-05-31,441.4353332519531,442.0979182349825,436.9617063700683,441.8837054312818,350094
2011-06-01,441.8836669921875,443.67709474077424,440.3891337329129,442.38184474527907,253170
2011-06-02,437.549560546875,440.090285599075,438.0656781049602,438.69536341840353,98276
2011-06-03,440.14007568359375,441.385520153553,437.74682156284126,441.18623687581584,406229
2011-06-06,442.4814453125,447.363580758437,439.0938429871368,447.363580758437,142688
2011-06-07,440.987060546875,443.77684448126485,440.0903464541329,441.08670220303844,345535
2011-06-08,439.3429870605469,442.5811425621196,438.89461490547825,440.3891482138964,181423
2011-06-09,442.5812072753906,458.3236149300067,437.848517773396,458.3236149300067,150911
2011-06-10,438.595703125,444.374552860645,438.595703125,442.28220023002984,270918
2011-06-13,440.33929443359375,441.38545547251044,438.5398767703359,440.88727775753017,94930
2011-06-14,440.8873291015625,441.88368464755473,438.9593835525762,441.0866123733042,401601
2011-06-15,440.0903015136719,444.0488144725642,438.9943042205222,442.1826240476215,1598959
2011-06-16,437.4000549316406,441.8836545835595,434.41098849702803,441.8836545835595,220101
2011-06-17,436.4535217285156,438.49007872824245,433.41464956651174,437.6989661238217,140593
2011-06-20,431.92010498046875,434.52954808988255,430.12667726073954,434.3113520755599,161239
2011-06-21,436.4535217285156,437.7986077567177,432.0596206594703,433.9128273246342,254062
2011-06-22,438.0476379394531,439.59200702650884,435.5069438760127,435.5069438760127,107462
2011-06-23,432.0694885253906,447.3635491257715,431.92004130517137,447.3635491257715,127528
2011-06-24,428.4327697753906,434.90907908594886,427.9345921361169,434.2116182284256,361658
2011-06-27,430.5252380371094,431.7208464499642,426.44017421221605,426.44017421221605,180189
2011-06-28,436.40374755859375,441.7840616527018,431.48174852120036,432.9165030004771,166997
2011-06-29,441.38555908203125,441.61473183100514,437.5814799685073,439.39284775434714,78469
2011-06-30,445.6697692871094,447.81195777520827,437.001495336395,442.3818085482788,1560830
2011-07-01,450.0538330078125,451.3490831146927,445.0541152963163,446.7658413108433,539454
